indeks,host_id,host_name,neighbourhood,room_type,price,count_id
1,116193397,Suchada,Phaya Thai,Entire home/apt,1571,1 
2,49220458,Pim,Pra Wet,Entire home/apt,589,1 
3,49220458,Pim,Pra Wet,Entire home/apt,727,1 
4,2389272,Bua,Pom Prap Sattru Phai,Private room,3714,1 
5,2389272,Bua,Pom Prap Sattru Phai,Private room,3714,1 
6,40576227,Suttaporn,Bang Khen,Entire home/apt,1500,1 
7,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
8,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
9,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
10,30963587,Themustang,Khlong Toei,Hotel room,2000,1 
11,30963587,Themustang,Khlong Toei,Hotel room,2286,1 
12,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
13,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
14,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
15,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
16,30963587,Themustang,Khlong Toei,Hotel room,2329,1 
17,1927968,Evan,Sathon,Entire home/apt,829,1 
18,1927968,Evan,Sathon,Entire home/apt,750,1 
19,1927968,Evan,Sathon,Entire home/apt,1200,1 
20,1927968,Evan,Sathon,Entire home/apt,800,1 
21,1927968,Evan,Sathon,Entire home/apt,1072,2 
22,1927968,Evan,Sathon,Entire home/apt,850,1 
23,1927968,Evan,Sathon,Entire home/apt,1200,1 
24,1927968,Evan,Sathon,Entire home/apt,1086,1 
25,1927968,Evan,Sathon,Entire home/apt,693,1 
26,1927968,Evan,Sathon,Entire home/apt,1200,1 
27,1927968,Evan,Sathon,Entire home/apt,800,1 
28,1927968,Evan,Sathon,Entire home/apt,800,1 
29,1927968,Evan,Sathon,Entire home/apt,750,1 
30,1927968,Evan,Sathon,Entire home/apt,609,1 
31,1927968,Evan,Sathon,Entire home/apt,600,1 
32,1927968,Evan,Sathon,Entire home/apt,651,1 
33,1927968,Evan,Sathon,Entire home/apt,721,1 
34,1927968,Evan,Sathon,Entire home/apt,836,1 
35,1927968,Evan,Sathon,Entire home/apt,736,1 
36,1927968,Evan,Sathon,Entire home/apt,750,1 
37,1927968,Evan,Sathon,Entire home/apt,650,1 
38,1927968,Evan,Sathon,Entire home/apt,593,1 
39,1927968,Evan,Sathon,Entire home/apt,686,1 
40,1927968,Evan,Sathon,Entire home/apt,750,1 
41,1927968,Evan,Sathon,Entire home/apt,707,1 
42,1927968,Evan,Sathon,Entire home/apt,750,1 
43,1927968,Evan,Bang Na,Entire home/apt,1400,1 
44,1927968,Evan,Sathon,Entire home/apt,2200,1 
45,1927968,Evan,Chatu Chak,Entire home/apt,1450,1 
46,1927968,Evan,Bang Na,Entire home/apt,1150,1 
47,1927968,Evan,Sathon,Entire home/apt,1400,1 
48,1927968,Evan,Sathon,Entire home/apt,626,1 
49,1927968,Evan,Bang Na,Entire home/apt,1350,1 
50,1927968,Evan,Bang Na,Entire home/apt,1100,1 
51,1927968,Evan,Bang Khae,Entire home/apt,450,1 
52,1927968,Evan,Bang Na,Entire home/apt,1086,1 
198,47324488,Tony,Phaya Thai,Entire home/apt,1422,1 
199,47324488,Tony,Phaya Thai,Entire home/apt,1422,1 
200,47324488,Tony,Phaya Thai,Entire home/apt,1326,1 
201,47324488,Tony,Phaya Thai,Entire home/apt,1523,1 
202,47324488,Tony,Khlong Toei,Entire home/apt,1147,1 
203,47324488,Tony,Phaya Thai,Entire home/apt,1523,1 
204,47324488,Tony,Khlong Toei,Entire home/apt,1166,1 
205,47324488,Tony,Phaya Thai,Entire home/apt,1394,1 
206,47324488,Tony,Khlong Toei,Entire home/apt,1277,1 
207,47324488,Tony,Bang Sue,Entire home/apt,1809,1 
208,47324488,Tony,Phaya Thai,Entire home/apt,1394,1 
209,47324488,Tony,Khlong Toei,Entire home/apt,1166,1 
210,47324488,Tony,Phaya Thai,Entire home/apt,1297,2 
211,47324488,Tony,Phaya Thai,Entire home/apt,1523,1 
212,47324488,Tony,Bang Rak,Entire home/apt,4086,1 
213,47324488,Tony,Phaya Thai,Entire home/apt,1328,2 
214,47324488,Tony,Phaya Thai,Entire home/apt,1261,1 
215,47324488,Tony,Khlong Toei,Entire home/apt,1263,1 
216,47324488,Tony,Vadhana,Entire home/apt,1846,1 
217,47324488,Tony,Khlong Toei,Entire home/apt,1593,1 
218,47324488,Tony,Khlong Toei,Entire home/apt,1325,1 
219,47324488,Tony,Din Daeng,Entire home/apt,2136,1 
220,47324488,Tony,Vadhana,Entire home/apt,4156,1 
221,47324488,Tony,Huai Khwang,Entire home/apt,1832,1 
222,47324488,Tony,Khlong Toei,Entire home/apt,1262,2 
223,47324488,Tony,Vadhana,Entire home/apt,1872,1 
224,47324488,Tony,Khlong Toei,Entire home/apt,1206,1 
225,47324488,Tony,Khlong Toei,Entire home/apt,1426,1 
226,47324488,Tony,Vadhana,Entire home/apt,4156,1 
227,47324488,Tony,Vadhana,Entire home/apt,1761,1 
228,47324488,Tony,Khlong Toei,Entire home/apt,1371,1 
