indeks,host_id,host_name,<12/15/2012,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total_number_of_review
107,1927968,Evan,0,0,0,0,0,0,0,0,0,1382,0,4735,6117
4485,201677068,Curry,0,0,0,0,0,0,0,0,42,598,73,3995,4708
1964,47324488,Tony,0,0,0,0,0,0,0,0,0,0,0,4622,4622
1325,30963587,Themustang,0,0,0,0,0,0,0,0,0,426,0,3158,3584
1135,26736483,K,0,0,0,0,0,0,0,18,148,18,3,2750,2937
1672,40262107,Patty,0,0,0,0,0,0,0,0,0,0,384,2429,2813
2050,49539775,Max,0,0,0,0,0,0,0,0,0,0,0,2683,2683
3174,105689479,Taosiam,0,0,0,0,0,0,0,193,208,1810,0,470,2681
558,12464021,Rebecca,0,0,0,0,0,0,0,0,0,0,329,2156,2485
779,19266319,Alex,0,0,0,0,0,0,24,0,59,81,45,2233,2442
120,2129668,Wimonpak,0,0,22,0,0,26,32,157,734,377,0,970,2318
370,8214044,Evan From Sanctuary House,0,0,0,0,0,0,0,0,0,0,0,1976,1976
1302,30386490,N'Dee,0,0,0,0,0,0,0,0,0,0,0,1705,1705
158,3346331,Bee,0,0,0,0,0,0,0,0,0,0,0,1640,1640
1012,24218787,Pannipa,0,0,0,0,0,0,0,0,316,633,0,601,1550
2155,52161947,Noons,0,0,0,0,0,0,0,0,0,75,0,1398,1473
2320,59874191,Angela,0,0,0,0,0,0,0,0,0,0,0,1440,1440
1494,35082871,Ed,0,0,0,0,0,0,0,0,0,55,0,1357,1412
2930,91934777,Vichak,0,0,0,0,0,0,0,37,86,410,0,865,1398
2013,48760682,Rich,0,0,0,0,0,0,0,0,0,130,0,1197,1327
917,21970931,Nui,0,0,0,0,0,0,0,0,0,0,0,1324,1324
368,8123510,Tatiya,0,0,0,0,0,0,0,0,0,0,0,1315,1315
2751,79624768,Eva,0,0,0,0,0,0,0,0,0,0,0,1232,1232
3412,116193397,Suchada,0,0,0,0,0,0,0,0,0,0,0,1224,1224
2151,52130340,Pim,0,0,0,0,0,0,0,0,0,0,0,1211,1211
192,4138170,Kevin,0,0,0,0,0,0,0,0,0,0,75,1119,1194
1665,39744308,Ed,0,0,0,0,0,0,0,0,0,0,0,1139,1139
2992,95548084,Mod Apiluk,0,0,0,0,0,0,0,0,0,15,0,1124,1139
1936,46749847,Nitaya,0,0,0,0,0,0,0,0,0,333,0,786,1119
2394,62257044,Ludoping,0,0,0,0,0,0,0,0,0,0,0,1116,1116
1505,35462876,Wuthiphon,0,0,0,0,0,0,0,0,0,16,0,1096,1112
1924,46224081,Orranart,0,0,0,0,0,0,0,0,0,133,0,958,1091
201,4385665,Yefeng,0,0,0,0,0,0,0,0,0,0,0,996,996
5751,312545246,Mike,0,0,0,0,0,0,0,0,0,0,0,969,969
658,15214203,Bee,0,0,0,0,0,0,0,0,121,36,26,780,963
726,17499526,Benjamin,0,0,0,0,0,0,0,0,0,0,83,874,957
4974,234983307,Luke,0,0,0,0,0,0,0,0,0,0,0,957,957
1495,35112478,Ping,0,0,0,0,0,0,0,0,0,0,0,949,949
144,2940438,Kinifrog,0,0,0,0,0,0,0,0,0,260,0,685,945
593,13282564,Inthanom,0,0,0,0,0,0,0,0,0,0,0,911,911
1758,42482778,Harnpon,0,0,0,0,0,0,0,0,0,0,0,904,904
3968,158545122,Pailin,0,0,0,0,0,0,0,0,0,0,0,901,901
4144,170532676,Sony,0,0,0,0,0,0,0,0,28,46,0,827,901
1443,33648272,Jeenie,0,0,0,0,0,0,0,0,0,254,146,486,886
155,3315162,Pupe,0,0,0,0,0,0,0,0,0,0,0,840,840
3672,133849226,Aidan,0,0,0,0,0,0,0,0,0,192,37,606,835
1280,29821030,Diow,0,0,0,0,0,0,0,0,0,0,0,815,815
4977,235135484,Shin,0,0,0,0,0,0,0,0,0,0,0,804,804
1417,33098670,Paw,0,0,0,0,0,0,0,0,0,0,0,769,769
4406,192217276,Pratunam Design,0,0,0,0,0,0,0,0,0,0,0,762,762
300,6330956,Tan,0,0,0,0,0,0,0,0,0,268,309,169,746
2038,49220458,Pim,0,0,0,0,0,0,0,0,0,0,0,746,746
3430,117222364,Jah And Bros,0,0,0,0,0,0,0,0,0,122,0,615,737
2847,85557906,Terachai,0,0,0,0,0,0,0,0,0,0,0,736,736
781,19315013,Sutatt,0,0,0,0,0,0,0,0,0,0,0,733,733
125,2389272,Bua,0,0,0,0,0,0,0,0,0,0,0,732,732
1828,43924136,Bo-Ther & Paa Maa,0,0,0,0,0,0,0,0,0,0,0,726,726
27,420188,Baker,0,0,0,0,0,0,0,0,0,0,0,722,722
