indeks,host_id,host_name,number_of_reviews,calculated_host_listings_count,ulasan/jumlah unit
1,116193397,Suchada,1224,1,1224
2,49220458,Pim,746,2,373
3,2389272,Bua,732,2,366
4,40576227,Suttaporn,363,1,363
5,30963587,Themustang,3584,10,358.4
6,19484732,Sitara,302,1,302
7,158545122,Pailin,901,3,300.3333333
8,9906827,Nokiko,293,1,293
9,9407280,Timo,287,1,287
10,9390848,VeeZa,271,1,271
11,417308207,Siamese Sukhumvit 87,263,1,263
12,39199670,E:Box Management,257,1,257
13,53507655,Kawiwan,257,1,257
14,4491588,Donald,256,1,256
15,15290811,Dirk,252,1,252
16,8214044,Evan From Sanctuary House,1976,8,247
17,16600088,Calvin,246,1,246
18,29725290,Izii,241,1,241
19,15218917,Mam,481,2,240.5
20,3346331,Bee,1640,7,234.2857143
21,19146113,Pree,227,1,227
22,46749847,Nitaya,1119,5,223.8
23,44411390,Jeff,218,1,218
24,54134220,Kittipong,648,3,216
25,71898274,Kay,633,3,211
26,12445454,Panpilas,195,1,195
27,98998425,Olga,193,1,193
28,33098670,Paw,769,4,192.25
29,22403441,Giftgap,191,1,191
30,60313890,Airin,191,1,191
31,24430527,Dhanusaya,190,1,190
32,807406,Hollis,189,1,189
33,188858400,Joop,189,1,189
34,61399771,Pimnara,187,1,187
35,298572,Piangporn,184,1,184
36,19315013,Sutatt,733,4,183.25
37,9319710,Zhang,181,1,181
38,58525970,Frank,181,1,181
39,13020066,Ome,536,3,178.6666667
40,168069228,Chaveewan,174,1,174
41,24725488,Jay&Nita,173,1,173
42,24218787,Pannipa,1550,9,172.2222222
43,24675031,Malisa,171,1,171
44,5822937,Piya,170,1,170
45,43754076,Mong,338,2,169
46,3315162,Pupe,840,5,168
47,106203113,Guang,335,2,167.5
48,11554321,Artra,167,1,167
49,46077527,Pom,167,1,167
50,766443,Gerd,499,3,166.3333333
51,44743939,Hongyok,166,1,166
52,7626002,Fab & Jaa,332,2,166
53,90876766,Baanfangthon,663,4,165.75
54,1927968,Evan,6117,37,165.3243243
55,53904736,Jirat,165,1,165
56,29821030,Diow,815,5,163
57,35833952,Pp,162,1,162
58,19156474,Minkki,159,1,159
59,37959094,Bo,157,1,157
60,33484574,Dream,156,1,156
61,53883666,Wanree,155,1,155
62,849041,Niramon,307,2,153.5
63,13859456,Bert,153,1,153
64,63149653,Jenjira,459,3,153
65,5735895,Pariya,458,3,152.6666667
66,28831691,Dara,152,1,152
67,13282564,Inthanom,911,6,151.8333333
68,25243986,Korapin,151,1,151
69,19561084,Thongjuta,149,1,149
70,26036588,Pairin,149,1,149
71,545890,Henry,148,1,148
72,24063276,Pintula,294,2,147
73,692474,Aim,584,4,146
74,43924136,Bo-Ther & Paa Maa,726,5,145.2
75,165213926,Ann,145,1,145
76,59874191,Angela,1440,10,144
77,94668537,Title,143,1,143
78,40686382,Paijit,141,1,141
79,162090996,Pummaree,140,1,140
80,45434137,Thanyarat,139,1,139
81,84836158,VM1hostel,139,1,139
82,153572777,Heng,138,1,138
83,132322,Dasiri Property,688,5,137.6
84,66011156,Ramona,137,1,137
85,29600660,Jah,685,5,137
86,17499526,Benjamin,957,7,136.7142857
87,40259616,Kobkul,410,3,136.6666667
88,29631121,.● Bm,136,1,136
89,47324488,Tony,4622,34,135.9411765
90,70281319,Parson,135,1,135
91,181653171,Dennis,133,1,133
92,40479758,Skye,132,1,132
93,5917880,Riya & Bernard,130,1,130
94,589801,Jocelyn,129,1,129
95,9279712,Jing,129,1,129
96,32858545,Kanyalak,129,1,129
97,36401443,Taak & Vora,258,2,129
98,39878043,Yimmy,644,5,128.8
99,35206013,Thananrat,127,1,127
100,4877320,Nisa,253,2,126.5
101,55771717,Salute,126,1,126
102,110565436,Natty,126,1,126
103,24147370,Anupong,622,5,124.4
104,32466453,Markus,124,1,124
105,24955578,Tor,372,3,124
106,24613799,Mooncome Homestay,620,5,124
107,35462876,Wuthiphon,1112,9,123.5555556
108,110093848,Boro,123,1,123
109,117222364,Jah And Bros,737,6,122.8333333
110,83668253,Erika,122,1,122
111,32275692,Nate,121,1,121
112,48760682,Rich,1327,11,120.6363636
113,250841,Witty,241,2,120.5
114,2122791,Maam & Hermann,120,1,120
115,5469059,Andrew,120,1,120
116,20267951,Noom,120,1,120
117,25524442,Jane,120,1,120
118,91185964,Ms. Oranee,120,1,120
119,157992938,Bruce,120,1,120
120,36808034,Lalana,237,2,118.5
121,12464021,Rebecca,2485,21,118.3333333
122,762528,Piya,118,1,118
123,28780449,Four,118,1,118
124,85448609,Ted,118,1,118
125,162047813,Phon PAUL,118,1,118
126,48062833,Arty,117,1,117
127,45975817,Nivit,468,4,117
128,2933052,Xenia,115,1,115
129,23684887,Fang&Nim,115,1,115
130,45326725,Eric,115,1,115
131,26424087,Purit,113,1,113
132,28102263,Chadanuch(Bud),113,1,113
133,106576460,Oom,226,2,113
134,25916094,Tongpong,562,5,112.4
135,28623551,Joy&Kathy,112,1,112
136,71281945,Jack,111,1,111
137,52130340,Pim,1211,11,110.0909091
138,24958189,Stephen,110,1,110
139,46224081,Orranart,1091,10,109.1
140,117897406,Vitanya,109,1,109
141,4138170,Kevin,1194,11,108.5454545
142,5792836,Rogier,108,1,108
143,114288951,Note,108,1,108
144,52398651,Pai,646,6,107.6666667
145,41433300,Saowaluck,215,2,107.5
146,152938941,Ace,430,4,107.5
147,8759101,Korawin,107,1,107
148,93154217,Yoco,107,1,107
149,210393828,Ak,107,1,107
150,234983307,Luke,957,9,106.3333333
151,3774030,PuL,317,3,105.6666667
152,85557906,Terachai,736,7,105.1428571
153,3323622,Phoebe,104,1,104
